batsman,runs,balls,dismissals,strike_rate,average,matches_played,Death,Middle,Powerplay,boundary_pct,dot_ball_pct,dismissal_rate,avg_pp_balls_per_match,avg_middle_balls_per_match,avg_death_balls_per_match
AB de Villiers,5181,3400,125,152.3823529411765,41.448,170,225.3317249698432,131.4256515074093,120.6840390879479,61.26230457440649,30.558823529411764,27.2,3.611764705882353,11.511764705882351,4.876470588235295
KA Pollard,3437,2315,129,148.46652267818575,26.643410852713178,168,172.20338983050846,124.49355432780848,108.16326530612244,64.82397439627582,36.371490280777536,17.94573643410853,0.2916666666666667,6.464285714285714,7.023809523809524
YK Pathan,3222,2233,111,144.29019256605466,29.027027027027028,153,161.7816091954023,134.08037094281298,148.559670781893,62.63190564866542,34.97536945812808,20.11711711711712,1.588235294117647,8.457516339869281,4.549019607843137
HH Pandya,2758,1867,99,147.7236207820032,27.858585858585855,140,172.70531400966183,133.679354094579,98.25581395348836,62.65409717186367,33.26191751472951,18.858585858585855,1.2285714285714286,6.192857142857143,5.914285714285715
RR Pant,3566,2408,107,148.08970099667772,33.32710280373832,123,203.25203252032523,136.5681233933162,122.5,64.61020751542344,34.09468438538206,22.50467289719626,2.926829268292683,12.65040650406504,4.0
JC Buttler,4121,2749,106,149.90905783921426,38.87735849056604,119,198.09782608695653,144.40677966101697,140.5495420482931,66.53724824071827,36.485994907239,25.933962264150946,10.092436974789916,9.915966386554622,3.092436974789916
AD Russell,2655,1509,92,175.94433399602386,28.858695652173918,114,197.51724137931035,154.10691003911344,241.17647058823528,78.56873822975517,39.69516235917826,16.402173913043477,0.1491228070175438,6.728070175438597,6.359649122807017
MP Stoinis,2026,1393,73,145.44149318018663,27.753424657534246,99,178.17047817047816,129.91071428571428,123.33333333333334,62.58637709772952,34.242641780330224,19.08219178082192,2.4242424242424243,6.787878787878788,4.858585858585859
N Pooran,2293,1355,67,169.2250922509225,34.223880597014926,86,176.05042016806723,167.01570680628274,155.65217391304347,71.26035761011775,33.65313653136531,20.22388059701493,1.337209302325581,8.883720930232558,5.534883720930233
