bowler,runs_conceded,balls,wickets,overs,economy,Death_x,Middle_x,Powerplay_x,Death_y,Middle_y,Powerplay_y,death_overs_balls_bowled,middle_overs_balls_bowled,powerplay_balls_bowled,death_runs,middle_runs,powerplay_runs,total_balls_bowled,powerplay_economy,middle_overs_economy,death_overs_economy
B Kumar,5336,4222,198,703.6666666666666,7.583135954523922,9.186858316221766,8.374407582938389,6.438648995297136,1461,422,2339,1535,432,2411,2326,601,2614,4378,6.505184570717545,8.347222222222221,9.09185667752443
Sandeep Sharma,3990,3045,146,507.5,7.862068965517241,9.956931359353971,7.901960784313726,6.926627218934911,743,612,1690,790,638,1740,1294,833,2007,3168,6.9206896551724135,7.833855799373041,9.827848101265824
TA Boult,3678,2687,143,447.8333333333333,8.21287681429103,10.44382801664355,8.627118644067796,7.124069478908188,721,354,1612,752,371,1662,1288,538,1980,2785,7.148014440433213,8.700808625336927,10.27659574468085
Mohammed Shami,3688,2615,133,435.8333333333333,8.461950286806884,10.506666666666666,8.337662337662337,7.566982408660351,675,462,1478,700,475,1533,1214,663,1957,2708,7.659491193737769,8.374736842105262,10.405714285714286
UT Yadav,4262,3057,144,509.5,8.365063788027477,10.155737704918034,8.075601374570446,7.636363636363637,732,873,1452,777,901,1512,1312,1204,1926,3190,7.642857142857143,8.017758046614873,10.13127413127413
Z Khan,2769,2200,103,366.6666666666667,7.551818181818182,9.182866556836904,8.212624584717608,6.63157894736842,607,301,1292,620,310,1346,946,422,1492,2276,6.6508172362555715,8.167741935483871,9.15483870967742
A Nehra,2447,1908,106,318.0,7.69496855345912,8.675521821631879,7.229166666666667,7.3449222323879235,527,288,1093,546,297,1131,794,356,1387,1974,7.358090185676392,7.191919191919192,8.725274725274724
R Vinay Kumar,2953,2127,105,354.5,8.330042313117067,10.191780821917808,7.7478991596638656,7.261904761904762,657,714,756,686,730,770,1172,939,930,2186,7.246753246753246,7.717808219178082,10.25072886297376
