bowler,runs_conceded,balls,wickets,overs,economy,Death_x,Middle_x,Powerplay_x,Death_y,Middle_y,Powerplay_y,death_overs_balls_bowled,middle_overs_balls_bowled,powerplay_balls_bowled,death_runs,middle_runs,powerplay_runs,total_balls_bowled,powerplay_economy,middle_overs_economy,death_overs_economy
RA Jadeja,5139,4056,169,676.0,7.60207100591716,8.761363636363637,7.398936170212766,8.125,528,3384,144,542,3438,147,785,4258,199,4127,8.122448979591837,7.431064572425829,8.690036900369003
R Ashwin,5521,4710,184,785.0,7.033121019108281,7.9267886855241265,6.871543577178858,6.972843450479234,601,2857,1252,626,2951,1291,834,3385,1502,4868,6.980635166537568,6.882412741443579,7.993610223642173
A Mishra,4091,3371,173,561.8333333333334,7.281518837140314,9.213051823416508,6.918141592920354,7.130434782608695,521,2712,138,543,2758,143,831,3188,174,3444,7.300699300699301,6.935460478607687,9.182320441988951
Harbhajan Singh,3996,3416,146,569.3333333333334,7.018735362997657,8.10989010989011,6.888607594936709,7.032341526520051,273,2370,773,282,2426,788,382,2791,928,3496,7.065989847715736,6.902720527617477,8.127659574468085
SP Narine,4931,4351,192,725.1666666666666,6.799816134222018,7.318744053282589,6.601010101010101,6.720779220779221,1051,2376,924,1074,2402,945,1314,2644,1071,4421,6.8,6.604496253122399,7.340782122905028
Rashid Khan,3812,3202,158,533.6666666666666,7.143035602748283,8.375,6.708827404479578,7.94269340974212,576,2277,349,584,2298,355,822,2573,468,3237,7.909859154929578,6.718015665796345,8.445205479452055
