bowler,runs_conceded,balls,wickets,overs,economy,Death_x,Middle_x,Powerplay_x,Death_y,Middle_y,Powerplay_y,death_overs_balls_bowled,middle_overs_balls_bowled,powerplay_balls_bowled,death_runs,middle_runs,powerplay_runs,total_balls_bowled,powerplay_economy,middle_overs_economy,death_overs_economy
DJ Bravo,4236,3120,183,520.0,8.146153846153846,9.101805054151624,7.349701393497014,7.605263157894737,1385,1507,228,1463,1590,243,2198,1934,304,3296,7.506172839506172,7.2981132075471695,9.014354066985646
JJ Bumrah,3987,3359,186,559.8333333333334,7.121762429294432,8.074349442379182,6.468965517241379,6.498251748251748,1345,870,1144,1397,890,1187,1882,966,1314,3474,6.64195450716091,6.512359550561797,8.083035075161058
SL Malinga,3298,2828,170,471.3333333333333,6.997171145685997,7.79946284691137,7.07,6.151215121512151,1117,600,1111,1174,636,1164,1526,750,1210,2974,6.237113402061856,7.0754716981132075,7.798977853492334
HV Patel,3430,2425,151,404.1666666666667,8.48659793814433,9.471428571428572,7.708576186511241,8.765625,840,1201,384,910,1253,407,1434,1620,595,2570,8.771498771498772,7.757382282521947,9.454945054945055
