bowler,runs_conceded,balls,wickets,overs,economy,death_overs_economy,middle_overs_economy,powerplay_economy,death_overs_balls_bowled,middle_overs_balls_bowled,powerplay_balls_bowled,total_balls_bowled
JD Unadkat,3323,2274,111,379.0,8.767810026385224,10.757009345794392,8.343065693430656,7.622222222222222,642,822,810,2274
JDP Oram,349,237,9,39.5,8.835443037974683,8.32,8.555555555555555,9.333333333333334,75,54,108,237
JDS Neesham,336,216,8,36.0,9.333333333333334,20.0,8.214285714285714,11.0,12,168,36,216
JE Root,15,12,0,2.0,7.5,,7.5,,0,12,0,12
JE Taylor,162,117,6,19.5,8.307692307692308,11.058823529411764,6.666666666666667,6.0,51,18,48,117
JEC Franklin,219,151,9,25.166666666666668,8.701986754966887,10.5,8.191304347826087,10.0,24,115,12,151
JH Kallis,2265,1742,65,290.3333333333333,7.801377726750862,9.916666666666666,7.3094688221709,7.151162790697675,360,866,516,1742
JJ Bumrah,3987,3359,186,559.8333333333334,7.121762429294432,8.074349442379182,6.468965517241379,6.498251748251748,1345,870,1144,3359
JJ van der Wath,130,72,3,12.0,10.833333333333334,12.25,14.333333333333334,7.6,24,18,30,72
JL Pattinson,312,213,11,35.5,8.788732394366198,9.076923076923077,9.083333333333334,8.470588235294118,39,72,102,213
JM Kemp,55,44,3,7.333333333333333,7.5,6.0,7.534883720930233,,1,43,0,44
JO Holder,1421,995,53,165.83333333333334,8.568844221105527,9.556291390728477,7.773913043478261,8.5,302,345,348,995
JP Behrendorff,546,366,19,61.0,8.950819672131148,11.9,8.636363636363637,8.3,60,66,240,366
JP Duminy,815,678,23,113.0,7.212389380530974,9.333333333333334,6.857142857142857,7.518518518518518,54,462,162,678
JP Faulkner,1791,1238,61,206.33333333333334,8.680129240710823,9.9186295503212,8.084999999999999,7.762803234501347,467,400,371,1238
JPR Scantlebury-Searles,86,42,2,7.0,12.285714285714286,19.0,11.0,12.0,6,30,6,42
JR Hazlewood,1192,867,57,144.5,8.249134948096886,10.088709677419354,7.849624060150376,7.419753086419753,248,133,486,867
JR Hopes,553,360,14,60.0,9.216666666666667,11.722222222222221,8.102564102564102,8.666666666666666,108,234,18,360
JW Hastings,63,58,3,9.666666666666666,6.517241379310345,5.3999999999999995,3.5,7.833333333333333,10,12,36,58
Jalaj S Saxena,27,18,0,3.0,9.0,,8.5,10.0,0,12,6,18
Jaskaran Singh,159,102,6,17.0,9.352941176470589,13.6,8.8,6.714285714285714,30,30,42,102
Joginder Sharma,384,256,12,42.666666666666664,9.0,11.76923076923077,8.2,9.0,52,180,24,256
K Goel,93,66,0,11.0,8.454545454545455,,8.454545454545455,,0,66,0,66
K Gowtham,814,588,20,98.0,8.306122448979592,12.75,7.653061224489796,8.622222222222222,24,294,270,588
K Kartikeya,402,282,12,47.0,8.553191489361701,11.75,8.071428571428571,16.0,24,252,6,282
K Khejroliya,239,139,6,23.166666666666668,10.316546762589928,12.0,8.692307692307692,12.8,31,78,30,139
K Rabada,2705,1913,122,318.8333333333333,8.484056455828542,9.513866231647635,7.4345114345114345,8.32967032967033,613,481,819,1913
K Santokie,88,48,3,8.0,11.0,13.5,5.0,9.666666666666666,24,6,18,48
K Upadhyay,79,54,0,9.0,8.777777777777779,,7.0,9.666666666666666,0,18,36,54
K Yadav,85,54,2,9.0,9.444444444444445,14.0,7.75,8.666666666666666,12,24,18,54
KA Jamieson,397,258,14,43.0,9.232558139534884,12.444444444444445,8.222222222222221,8.44,54,54,150,258
KA Maharaj,39,36,2,6.0,6.5,,6.2,8.0,0,30,6,36
KA Pollard,2095,1488,68,248.0,8.44758064516129,10.397626112759644,7.824215246636771,9.5,337,1115,36,1488
KAJ Roach,76,48,0,8.0,9.5,14.333333333333334,7.0,6.333333333333333,18,12,18,48
KC Cariappa,335,216,8,36.0,9.305555555555555,7.666666666666667,9.185185185185185,10.666666666666666,18,162,36,216
KH Pandya,2925,2398,91,399.6666666666667,7.3185988323602995,7.990099009900991,7.083636363636364,7.78021978021978,202,1650,546,2398
KJ Abbott,174,96,2,16.0,10.875,13.0,10.2,10.142857142857142,24,30,42,96
KK Ahmed,2277,1556,90,259.3333333333333,8.780205655526993,10.336633663366337,8.142857142857142,8.26,404,252,900,1556
KK Cooper,757,576,33,96.0,7.885416666666667,8.818181818181818,7.277777777777778,6.6875,264,216,96,576
KL Nagarkoti,282,180,5,30.0,9.4,11.4,9.05,8.8,30,120,30,180
KM Asif,220,134,7,22.333333333333332,9.850746268656717,14.76923076923077,8.0,9.714285714285714,26,66,42,134
KMA Paul,204,163,9,27.166666666666668,7.509202453987729,8.204081632653061,7.111111111111111,9.0,49,108,6,163
KMDN Kulasekara,117,102,5,17.0,6.882352941176471,6.4,8.0,7.0,30,6,66,102
KP Appanna,283,216,9,36.0,7.861111111111111,12.0,7.516129032258065,8.666666666666666,12,186,18,216
KP Pietersen,208,174,7,29.0,7.172413793103448,9.75,7.045454545454546,4.666666666666667,24,132,18,174
KR Mayers,53,42,0,7.0,7.571428571428571,,14.0,6.5,0,6,36,42
KR Sen,373,241,14,40.166666666666664,9.28630705394191,12.78688524590164,7.782608695652174,9.142857142857142,61,138,42,241
KS Williamson,31,18,0,3.0,10.333333333333334,,12.0,7.0,0,12,6,18
KT Maphaka,143,66,2,11.0,13.0,16.0,14.5,11.714285714285714,12,12,42,66
KV Sharma,2237,1585,83,264.1666666666667,8.468138801261828,10.56198347107438,8.426605504587156,7.1923076923076925,121,1308,156,1585
KW Richardson,465,335,20,55.833333333333336,8.328358208955224,10.831858407079647,8.333333333333334,6.642857142857143,113,54,168,335
Kamran Khan,236,166,10,27.666666666666668,8.53012048192771,9.88235294117647,6.75,9.0,34,48,84,166
Karanveer Singh,314,204,12,34.0,9.235294117647058,12.75,8.464285714285714,13.0,24,168,12,204
Karim Janat,30,6,0,1.0,30.0,,30.0,,0,6,0,6
