batsman,runs,balls,dismissals,strike_rate,average,matches_played,Death,Middle,Powerplay,boundary_pct,dot_ball_pct,dismissal_rate,avg_pp_balls_per_match,avg_middle_balls_per_match,avg_death_balls_per_match,score
AB de Villiers,5181,3400,125,152.3823529411765,41.448,170,225.3317249698432,131.4256515074093,120.6840390879479,61.26230457440649,30.558823529411764,27.2,3.611764705882353,11.511764705882351,4.876470588235295,227.84350954374514
KA Pollard,3437,2315,129,148.46652267818575,26.643410852713178,168,172.20338983050846,124.49355432780848,108.16326530612244,64.82397439627582,36.371490280777536,17.94573643410853,0.2916666666666667,6.464285714285714,7.023809523809524,199.94879457585282
AD Russell,2655,1509,92,175.94433399602386,28.85869565217392,114,197.51724137931035,154.10691003911344,241.17647058823528,78.56873822975517,39.69516235917826,16.402173913043477,0.1491228070175438,6.728070175438597,6.359649122807017,199.04981562530443
RR Pant,3566,2408,107,148.08970099667772,33.32710280373832,123,203.25203252032523,136.5681233933162,122.5,64.61020751542344,34.09468438538206,22.50467289719626,2.926829268292683,12.65040650406504,4.0,196.45292655916592
