batsman,runs,balls,dismissals,strike_rate,average,matches_played,Death,Middle,Powerplay,boundary_pct,dot_ball_pct,dismissal_rate,avg_pp_balls_per_match,avg_middle_balls_per_match,avg_death_balls_per_match,score
JC Buttler,4121,2749,106,149.90905783921426,38.87735849056604,119,198.09782608695653,144.40677966101697,140.5495420482931,66.53724824071827,36.485994907239,25.933962264150946,10.092436974789916,9.915966386554622,3.092436974789916,156.56800586919474
YBK Jaiswal,2166,1412,62,153.39943342776203,34.935483870967744,66,209.52380952380955,138.3399209486166,159.49074074074073,73.31486611265005,39.30594900849859,22.774193548387096,13.090909090909092,7.666666666666667,0.6363636363636364,143.20322309881846
JM Bairstow,1674,1142,50,146.58493870402802,33.48,52,136.36363636363637,141.16379310344826,151.52487961476726,67.86140979689367,38.704028021015766,22.84,11.98076923076923,8.923076923076923,1.0576923076923077,132.0814334571153
