player,batting_runs,batting_balls,dismissals,batting_strike_rate,batting_average,matches_played,Death,Middle,Powerplay,boundary_pct,dot_ball_pct,dismissal_rate,avg_pp_balls_per_match,avg_middle_balls_per_match,avg_death_balls_per_match,runs_conceded,bowling_balls,wickets,overs,economy,score
RA Jadeja,3260,2607,123,125.04794783275796,26.504065040650406,194,143.48855564325177,106.86900958466454,118.1818181818182,50.98159509202455,34.330648254698886,21.195121951219512,0.4536082474226804,6.453608247422681,6.530927835051546,5139,4056,169,676.0,7.60207100591716,135.68498256024736
SP Narine,1780,1144,95,155.5944055944056,18.73684210526316,118,119.08396946564883,157.4750830564784,161.51685393258427,81.57303370786518,48.68881118881119,12.042105263157897,6.033898305084746,2.5508474576271185,1.1101694915254237,4931,4351,192,725.1666666666666,6.799816134222018,134.45942946963402
DJ Bravo,1560,1247,69,125.10024057738572,22.60869565217392,110,167.71217712177122,89.64346349745331,106.03448275862068,56.15384615384615,39.93584603047314,18.07246376811594,1.0545454545454545,5.354545454545455,4.927272727272728,4236,3120,183,520.0,8.146153846153846,121.76883471502174
AD Russell,2655,1626,92,163.2841328413284,28.85869565217392,114,180.125786163522,145.20884520884522,241.17647058823528,78.56873822975517,43.48093480934809,17.67391304347826,0.1491228070175438,7.140350877192983,6.973684210526316,2802,1806,123,301.0,9.308970099667777,117.55015751815034
