batsman,runs,balls,dismissals,strike_rate,average,matches_played,Death,Middle,Powerplay,boundary_pct,dot_ball_pct,dismissal_rate,avg_pp_balls_per_match,avg_middle_balls_per_match,avg_death_balls_per_match,score
V Kohli,8671,6505,231,133.29746348962337,37.53679653679654,259,187.6712328767124,125.13949163050218,126.2924071082391,55.91050628531888,32.95926210607225,28.16017316017316,9.55984555984556,12.455598455598455,3.1003861003861,177.07207299001416
SK Raina,5536,4025,168,137.54037267080744,32.95238095238095,200,172.55278310940497,131.55194527575887,133.90557939914163,58.67052023121387,33.14285714285714,23.95833333333333,5.825,11.695,2.605,152.60844072558479
AB de Villiers,5181,3400,125,152.3823529411765,41.448,170,225.3317249698432,131.4256515074093,120.6840390879479,61.26230457440649,30.558823529411764,27.2,3.611764705882353,11.511764705882351,4.876470588235295,146.18473074634042
SV Samson,4704,3368,151,139.66745843230404,31.1523178807947,171,191.64619164619165,137.5878853434289,124.10071942446044,60.16156462585034,34.412114014251785,22.3046357615894,6.502923976608187,10.812865497076023,2.380116959064328,141.48533352865513
